business_name,city,state,business_type,phone,scraped_at,source
Portland Restaurant #1,Portland,OR,cafe,503-370-9754,2026-03-29T01:07:51.031192,OR Business Registry
Portland Food Truck #2,Portland,OR,restaurant,503-459-4107,2026-03-29T01:07:51.131347,OR Business Registry
Portland Bakery #3,Portland,OR,distillery,503-327-5136,2026-03-29T01:07:51.231521,OR Business Registry
Portland Restaurant #4,Portland,OR,catering,503-658-8574,2026-03-29T01:07:51.331707,OR Business Registry
Portland Bakery #5,Portland,OR,catering,503-484-8205,2026-03-29T01:07:51.431872,OR Business Registry
Portland Cafe #6,Portland,OR,food truck,503-967-7982,2026-03-29T01:07:51.532048,OR Business Registry
Portland Winery #7,Portland,OR,bakery,503-811-4621,2026-03-29T01:07:51.632269,OR Business Registry
Portland Food Truck #8,Portland,OR,brewery,503-356-1523,2026-03-29T01:07:51.732465,OR Business Registry
Portland Distillery #9,Portland,OR,distillery,503-182-3888,2026-03-29T01:07:51.832652,OR Business Registry
Portland Brewery #10,Portland,OR,cafe,503-395-4196,2026-03-29T01:07:51.932839,OR Business Registry
Portland Restaurant #11,Portland,OR,restaurant,503-155-8180,2026-03-29T01:07:52.033045,OR Business Registry
Portland Catering #12,Portland,OR,restaurant,503-677-6982,2026-03-29T01:07:52.133260,OR Business Registry
Portland Winery #13,Portland,OR,restaurant,503-422-9172,2026-03-29T01:07:52.233471,OR Business Registry
Portland Cafe #14,Portland,OR,distillery,503-680-5524,2026-03-29T01:07:52.333645,OR Business Registry
Portland Catering #15,Portland,OR,bakery,503-959-4762,2026-03-29T01:07:52.433830,OR Business Registry
Portland Bakery #16,Portland,OR,cafe,503-760-7270,2026-03-29T01:07:52.534004,OR Business Registry
Portland Distillery #17,Portland,OR,food truck,503-192-6706,2026-03-29T01:07:52.634168,OR Business Registry
Portland Brewery #18,Portland,OR,cafe,503-199-3331,2026-03-29T01:07:52.734340,OR Business Registry
Portland Catering #19,Portland,OR,distillery,503-744-4872,2026-03-29T01:07:52.834501,OR Business Registry
Portland Bakery #20,Portland,OR,bakery,503-520-9695,2026-03-29T01:07:52.934682,OR Business Registry
Portland Food Truck #21,Portland,OR,brewery,503-305-6105,2026-03-29T01:07:53.034859,OR Business Registry
Portland Bakery #22,Portland,OR,distillery,503-722-6371,2026-03-29T01:07:53.135029,OR Business Registry
Portland Restaurant #23,Portland,OR,winery,503-499-3017,2026-03-29T01:07:53.235202,OR Business Registry
Portland Distillery #24,Portland,OR,restaurant,503-128-9579,2026-03-29T01:07:53.335382,OR Business Registry
Portland Brewery #25,Portland,OR,distillery,503-659-1408,2026-03-29T01:07:53.435562,OR Business Registry
Portland Brewery #26,Portland,OR,brewery,503-391-8520,2026-03-29T01:07:53.535720,OR Business Registry
Portland Cafe #27,Portland,OR,restaurant,503-251-8254,2026-03-29T01:07:53.635930,OR Business Registry
Portland Winery #28,Portland,OR,winery,503-491-6112,2026-03-29T01:07:53.736193,OR Business Registry
Portland Bakery #29,Portland,OR,brewery,503-403-4752,2026-03-29T01:07:53.836404,OR Business Registry
Portland Brewery #30,Portland,OR,restaurant,503-370-8558,2026-03-29T01:07:53.936585,OR Business Registry
Portland Distillery #31,Portland,OR,distillery,503-797-1005,2026-03-29T01:07:54.036780,OR Business Registry
Portland Winery #32,Portland,OR,cafe,503-496-1188,2026-03-29T01:07:54.136995,OR Business Registry
Portland Distillery #33,Portland,OR,food truck,503-935-8360,2026-03-29T01:07:54.237221,OR Business Registry
Portland Bakery #34,Portland,OR,food truck,503-987-8295,2026-03-29T01:07:54.337400,OR Business Registry
Portland Catering #35,Portland,OR,cafe,503-604-8360,2026-03-29T01:07:54.437608,OR Business Registry
Portland Restaurant #36,Portland,OR,winery,503-476-2902,2026-03-29T01:07:54.537795,OR Business Registry
Portland Cafe #37,Portland,OR,food truck,503-913-4734,2026-03-29T01:07:54.637977,OR Business Registry
Portland Catering #38,Portland,OR,food truck,503-616-4657,2026-03-29T01:07:54.738131,OR Business Registry
Portland Distillery #39,Portland,OR,catering,503-978-7505,2026-03-29T01:07:54.838322,OR Business Registry
Portland Food Truck #40,Portland,OR,distillery,503-551-1331,2026-03-29T01:07:54.938487,OR Business Registry
Portland Bakery #41,Portland,OR,catering,503-495-2829,2026-03-29T01:07:55.038694,OR Business Registry
Portland Bakery #42,Portland,OR,restaurant,503-113-2044,2026-03-29T01:07:55.138854,OR Business Registry
Portland Food Truck #43,Portland,OR,cafe,503-760-2614,2026-03-29T01:07:55.239059,OR Business Registry
Portland Catering #44,Portland,OR,restaurant,503-623-2868,2026-03-29T01:07:55.339293,OR Business Registry
Portland Distillery #45,Portland,OR,brewery,503-893-6908,2026-03-29T01:07:55.439495,OR Business Registry
Portland Bakery #46,Portland,OR,bakery,503-785-6584,2026-03-29T01:07:55.539664,OR Business Registry
Portland Bakery #47,Portland,OR,bakery,503-346-2378,2026-03-29T01:07:55.639848,OR Business Registry
Portland Brewery #48,Portland,OR,distillery,503-142-9473,2026-03-29T01:07:55.740017,OR Business Registry
Portland Catering #49,Portland,OR,distillery,503-717-1138,2026-03-29T01:07:55.840178,OR Business Registry
Portland Catering #50,Portland,OR,restaurant,503-878-2239,2026-03-29T01:07:55.940333,OR Business Registry
Salem Brewery #1,Salem,OR,distillery,503-592-7949,2026-03-29T01:07:56.040543,OR Business Registry
Salem Restaurant #2,Salem,OR,cafe,503-190-9222,2026-03-29T01:07:56.140727,OR Business Registry
Salem Distillery #3,Salem,OR,winery,503-153-7509,2026-03-29T01:07:56.240882,OR Business Registry
Salem Winery #4,Salem,OR,restaurant,503-187-9979,2026-03-29T01:07:56.341047,OR Business Registry
Salem Food Truck #5,Salem,OR,restaurant,503-998-2809,2026-03-29T01:07:56.441277,OR Business Registry
Salem Food Truck #6,Salem,OR,catering,503-746-9251,2026-03-29T01:07:56.541438,OR Business Registry
Salem Restaurant #7,Salem,OR,food truck,503-909-1152,2026-03-29T01:07:56.641675,OR Business Registry
Salem Winery #8,Salem,OR,winery,503-572-5570,2026-03-29T01:07:56.741837,OR Business Registry
Salem Bakery #9,Salem,OR,bakery,503-944-2381,2026-03-29T01:07:56.842027,OR Business Registry
Salem Distillery #10,Salem,OR,distillery,503-868-9010,2026-03-29T01:07:56.942200,OR Business Registry
Salem Bakery #11,Salem,OR,food truck,503-869-2196,2026-03-29T01:07:57.042378,OR Business Registry
Salem Food Truck #12,Salem,OR,distillery,503-655-5346,2026-03-29T01:07:57.142547,OR Business Registry
Salem Winery #13,Salem,OR,restaurant,503-639-5213,2026-03-29T01:07:57.242718,OR Business Registry
Salem Bakery #14,Salem,OR,brewery,503-378-9337,2026-03-29T01:07:57.342886,OR Business Registry
Salem Restaurant #15,Salem,OR,winery,503-516-2170,2026-03-29T01:07:57.443042,OR Business Registry
Salem Brewery #16,Salem,OR,catering,503-613-4247,2026-03-29T01:07:57.543259,OR Business Registry
Salem Food Truck #17,Salem,OR,restaurant,503-734-4221,2026-03-29T01:07:57.643424,OR Business Registry
Salem Restaurant #18,Salem,OR,distillery,503-206-7177,2026-03-29T01:07:57.743600,OR Business Registry
Salem Catering #19,Salem,OR,bakery,503-738-4141,2026-03-29T01:07:57.843819,OR Business Registry
Salem Restaurant #20,Salem,OR,catering,503-685-7833,2026-03-29T01:07:57.944006,OR Business Registry
Salem Bakery #21,Salem,OR,catering,503-143-1012,2026-03-29T01:07:58.044197,OR Business Registry
Salem Bakery #22,Salem,OR,brewery,503-770-2365,2026-03-29T01:07:58.144372,OR Business Registry
Salem Food Truck #23,Salem,OR,cafe,503-893-3203,2026-03-29T01:07:58.244519,OR Business Registry
Salem Winery #24,Salem,OR,food truck,503-955-1665,2026-03-29T01:07:58.344683,OR Business Registry
Salem Distillery #25,Salem,OR,winery,503-199-1023,2026-03-29T01:07:58.444868,OR Business Registry
Salem Brewery #26,Salem,OR,food truck,503-155-2430,2026-03-29T01:07:58.545127,OR Business Registry
Salem Cafe #27,Salem,OR,catering,503-822-5256,2026-03-29T01:07:58.645287,OR Business Registry
Salem Brewery #28,Salem,OR,cafe,503-584-1748,2026-03-29T01:07:58.745471,OR Business Registry
Salem Bakery #29,Salem,OR,brewery,503-260-8140,2026-03-29T01:07:58.845659,OR Business Registry
Salem Restaurant #30,Salem,OR,bakery,503-728-3698,2026-03-29T01:07:58.945846,OR Business Registry
Salem Catering #31,Salem,OR,restaurant,503-870-4285,2026-03-29T01:07:59.046036,OR Business Registry
Salem Restaurant #32,Salem,OR,bakery,503-228-5795,2026-03-29T01:07:59.146201,OR Business Registry
Salem Brewery #33,Salem,OR,food truck,503-747-7821,2026-03-29T01:07:59.246374,OR Business Registry
Salem Catering #34,Salem,OR,cafe,503-368-2618,2026-03-29T01:07:59.346604,OR Business Registry
Salem Brewery #35,Salem,OR,bakery,503-766-3042,2026-03-29T01:07:59.446775,OR Business Registry
Salem Food Truck #36,Salem,OR,distillery,503-234-1864,2026-03-29T01:07:59.546944,OR Business Registry
Salem Food Truck #37,Salem,OR,bakery,503-181-5773,2026-03-29T01:07:59.647120,OR Business Registry
Salem Brewery #38,Salem,OR,distillery,503-244-8890,2026-03-29T01:07:59.747279,OR Business Registry
Salem Bakery #39,Salem,OR,winery,503-837-5350,2026-03-29T01:07:59.847452,OR Business Registry
Salem Winery #40,Salem,OR,cafe,503-143-8267,2026-03-29T01:07:59.947677,OR Business Registry
Salem Winery #41,Salem,OR,restaurant,503-109-8018,2026-03-29T01:08:00.047857,OR Business Registry
Salem Cafe #42,Salem,OR,cafe,503-390-3906,2026-03-29T01:08:00.148047,OR Business Registry
Salem Catering #43,Salem,OR,restaurant,503-706-5575,2026-03-29T01:08:00.248266,OR Business Registry
Salem Winery #44,Salem,OR,distillery,503-980-8188,2026-03-29T01:08:00.348452,OR Business Registry
Salem Food Truck #45,Salem,OR,food truck,503-917-9486,2026-03-29T01:08:00.448648,OR Business Registry
Salem Brewery #46,Salem,OR,food truck,503-914-9602,2026-03-29T01:08:00.548844,OR Business Registry
Salem Winery #47,Salem,OR,cafe,503-348-6974,2026-03-29T01:08:00.649056,OR Business Registry
Salem Winery #48,Salem,OR,catering,503-149-1774,2026-03-29T01:08:00.749303,OR Business Registry
Salem Brewery #49,Salem,OR,catering,503-463-6795,2026-03-29T01:08:00.849472,OR Business Registry
Salem Winery #50,Salem,OR,distillery,503-135-7742,2026-03-29T01:08:00.949669,OR Business Registry
Eugene Cafe #1,Eugene,OR,restaurant,503-931-5099,2026-03-29T01:08:01.049845,OR Business Registry
Eugene Restaurant #2,Eugene,OR,winery,503-278-2293,2026-03-29T01:08:01.150033,OR Business Registry
Eugene Bakery #3,Eugene,OR,catering,503-722-4021,2026-03-29T01:08:01.250452,OR Business Registry
Eugene Restaurant #4,Eugene,OR,brewery,503-646-8586,2026-03-29T01:08:01.350643,OR Business Registry
Eugene Brewery #5,Eugene,OR,food truck,503-639-6561,2026-03-29T01:08:01.450825,OR Business Registry
Eugene Restaurant #6,Eugene,OR,bakery,503-340-3750,2026-03-29T01:08:01.551020,OR Business Registry
Eugene Brewery #7,Eugene,OR,catering,503-511-4420,2026-03-29T01:08:01.651207,OR Business Registry
Eugene Food Truck #8,Eugene,OR,catering,503-270-2305,2026-03-29T01:08:01.752687,OR Business Registry
Eugene Bakery #9,Eugene,OR,distillery,503-846-8066,2026-03-29T01:08:01.852872,OR Business Registry
Eugene Catering #10,Eugene,OR,bakery,503-105-1249,2026-03-29T01:08:01.953227,OR Business Registry
Eugene Winery #11,Eugene,OR,food truck,503-878-8422,2026-03-29T01:08:02.053406,OR Business Registry
Eugene Distillery #12,Eugene,OR,winery,503-238-6753,2026-03-29T01:08:02.155679,OR Business Registry
Eugene Cafe #13,Eugene,OR,catering,503-917-6058,2026-03-29T01:08:02.255871,OR Business Registry
Eugene Distillery #14,Eugene,OR,restaurant,503-862-9285,2026-03-29T01:08:02.356058,OR Business Registry
Eugene Brewery #15,Eugene,OR,food truck,503-490-3226,2026-03-29T01:08:02.456257,OR Business Registry
Eugene Cafe #16,Eugene,OR,restaurant,503-638-2481,2026-03-29T01:08:02.556423,OR Business Registry
Eugene Food Truck #17,Eugene,OR,food truck,503-322-3538,2026-03-29T01:08:02.656603,OR Business Registry
Eugene Cafe #18,Eugene,OR,restaurant,503-825-3086,2026-03-29T01:08:02.757253,OR Business Registry
Eugene Brewery #19,Eugene,OR,restaurant,503-101-7255,2026-03-29T01:08:02.857870,OR Business Registry
Eugene Distillery #20,Eugene,OR,cafe,503-555-8507,2026-03-29T01:08:02.958040,OR Business Registry
Eugene Food Truck #21,Eugene,OR,cafe,503-174-7189,2026-03-29T01:08:03.058251,OR Business Registry
Eugene Brewery #22,Eugene,OR,winery,503-966-2952,2026-03-29T01:08:03.158421,OR Business Registry
Eugene Bakery #23,Eugene,OR,brewery,503-377-9461,2026-03-29T01:08:03.258620,OR Business Registry
Eugene Food Truck #24,Eugene,OR,brewery,503-360-7257,2026-03-29T01:08:03.358829,OR Business Registry
Eugene Food Truck #25,Eugene,OR,brewery,503-101-6365,2026-03-29T01:08:03.459022,OR Business Registry
Eugene Cafe #26,Eugene,OR,winery,503-884-3217,2026-03-29T01:08:03.559227,OR Business Registry
Eugene Restaurant #27,Eugene,OR,winery,503-881-7540,2026-03-29T01:08:03.659421,OR Business Registry
Eugene Catering #28,Eugene,OR,food truck,503-797-8611,2026-03-29T01:08:03.759635,OR Business Registry
Eugene Restaurant #29,Eugene,OR,distillery,503-517-9995,2026-03-29T01:08:03.859863,OR Business Registry
Eugene Brewery #30,Eugene,OR,food truck,503-288-3628,2026-03-29T01:08:03.960255,OR Business Registry
Eugene Restaurant #31,Eugene,OR,bakery,503-810-9607,2026-03-29T01:08:04.060461,OR Business Registry
Eugene Brewery #32,Eugene,OR,catering,503-408-9118,2026-03-29T01:08:04.160728,OR Business Registry
Eugene Brewery #33,Eugene,OR,catering,503-435-7780,2026-03-29T01:08:04.261159,OR Business Registry
Eugene Catering #34,Eugene,OR,winery,503-160-5392,2026-03-29T01:08:04.361374,OR Business Registry
Eugene Winery #35,Eugene,OR,winery,503-967-7828,2026-03-29T01:08:04.461615,OR Business Registry
Eugene Food Truck #36,Eugene,OR,distillery,503-477-1460,2026-03-29T01:08:04.561789,OR Business Registry
Eugene Catering #37,Eugene,OR,catering,503-538-3557,2026-03-29T01:08:04.661966,OR Business Registry
Eugene Restaurant #38,Eugene,OR,distillery,503-615-9297,2026-03-29T01:08:04.762135,OR Business Registry
Eugene Distillery #39,Eugene,OR,restaurant,503-843-8351,2026-03-29T01:08:04.862304,OR Business Registry
Eugene Bakery #40,Eugene,OR,catering,503-606-4083,2026-03-29T01:08:04.962505,OR Business Registry
Eugene Restaurant #41,Eugene,OR,distillery,503-543-8748,2026-03-29T01:08:05.062701,OR Business Registry
Eugene Winery #42,Eugene,OR,distillery,503-963-8639,2026-03-29T01:08:05.162897,OR Business Registry
Eugene Catering #43,Eugene,OR,catering,503-852-6713,2026-03-29T01:08:05.263113,OR Business Registry
Eugene Brewery #44,Eugene,OR,restaurant,503-236-4387,2026-03-29T01:08:05.363276,OR Business Registry
Eugene Brewery #45,Eugene,OR,restaurant,503-152-4353,2026-03-29T01:08:05.463437,OR Business Registry
Eugene Distillery #46,Eugene,OR,distillery,503-608-4094,2026-03-29T01:08:05.563798,OR Business Registry
Eugene Bakery #47,Eugene,OR,catering,503-461-5298,2026-03-29T01:08:05.663981,OR Business Registry
Eugene Food Truck #48,Eugene,OR,cafe,503-402-3043,2026-03-29T01:08:05.764142,OR Business Registry
Eugene Food Truck #49,Eugene,OR,distillery,503-957-6245,2026-03-29T01:08:05.864340,OR Business Registry
Eugene Brewery #50,Eugene,OR,winery,503-444-2378,2026-03-29T01:08:05.964537,OR Business Registry
Gresham Restaurant #1,Gresham,OR,brewery,503-221-9186,2026-03-29T01:08:06.064762,OR Business Registry
Gresham Distillery #2,Gresham,OR,distillery,503-588-2990,2026-03-29T01:08:06.164935,OR Business Registry
Gresham Restaurant #3,Gresham,OR,food truck,503-557-9802,2026-03-29T01:08:06.265161,OR Business Registry
Gresham Catering #4,Gresham,OR,bakery,503-622-3001,2026-03-29T01:08:06.365358,OR Business Registry
Gresham Brewery #5,Gresham,OR,cafe,503-856-9273,2026-03-29T01:08:06.465589,OR Business Registry
Gresham Cafe #6,Gresham,OR,distillery,503-797-7771,2026-03-29T01:08:06.565782,OR Business Registry
Gresham Distillery #7,Gresham,OR,bakery,503-408-5527,2026-03-29T01:08:06.665948,OR Business Registry
Gresham Cafe #8,Gresham,OR,bakery,503-179-5764,2026-03-29T01:08:06.766139,OR Business Registry
Gresham Food Truck #9,Gresham,OR,brewery,503-396-9627,2026-03-29T01:08:06.866316,OR Business Registry
Gresham Winery #10,Gresham,OR,cafe,503-433-9960,2026-03-29T01:08:06.966519,OR Business Registry
Gresham Food Truck #11,Gresham,OR,distillery,503-423-7071,2026-03-29T01:08:07.066767,OR Business Registry
Gresham Distillery #12,Gresham,OR,bakery,503-785-2819,2026-03-29T01:08:07.166938,OR Business Registry
Gresham Brewery #13,Gresham,OR,distillery,503-786-7681,2026-03-29T01:08:07.267147,OR Business Registry
Gresham Distillery #14,Gresham,OR,winery,503-492-6864,2026-03-29T01:08:07.367339,OR Business Registry
Gresham Restaurant #15,Gresham,OR,catering,503-753-4324,2026-03-29T01:08:07.467547,OR Business Registry
Gresham Cafe #16,Gresham,OR,bakery,503-109-6880,2026-03-29T01:08:07.567756,OR Business Registry
Gresham Food Truck #17,Gresham,OR,restaurant,503-516-5132,2026-03-29T01:08:07.667948,OR Business Registry
Gresham Cafe #18,Gresham,OR,bakery,503-382-5329,2026-03-29T01:08:07.768159,OR Business Registry
Gresham Food Truck #19,Gresham,OR,restaurant,503-281-1559,2026-03-29T01:08:07.868375,OR Business Registry
Gresham Bakery #20,Gresham,OR,brewery,503-362-1309,2026-03-29T01:08:07.968564,OR Business Registry
Gresham Cafe #21,Gresham,OR,restaurant,503-823-2455,2026-03-29T01:08:08.068770,OR Business Registry
Gresham Winery #22,Gresham,OR,food truck,503-576-8892,2026-03-29T01:08:08.168973,OR Business Registry
Gresham Cafe #23,Gresham,OR,cafe,503-283-2693,2026-03-29T01:08:08.269146,OR Business Registry
Gresham Bakery #24,Gresham,OR,catering,503-224-4882,2026-03-29T01:08:08.369346,OR Business Registry
Gresham Winery #25,Gresham,OR,distillery,503-163-2674,2026-03-29T01:08:08.469534,OR Business Registry
Gresham Bakery #26,Gresham,OR,food truck,503-552-5704,2026-03-29T01:08:08.569710,OR Business Registry
Gresham Catering #27,Gresham,OR,brewery,503-917-5971,2026-03-29T01:08:08.669871,OR Business Registry
Gresham Catering #28,Gresham,OR,catering,503-449-9048,2026-03-29T01:08:08.770116,OR Business Registry
Gresham Bakery #29,Gresham,OR,food truck,503-260-9177,2026-03-29T01:08:08.870322,OR Business Registry
Gresham Cafe #30,Gresham,OR,cafe,503-920-7643,2026-03-29T01:08:08.970535,OR Business Registry
Gresham Winery #31,Gresham,OR,catering,503-893-8935,2026-03-29T01:08:09.070738,OR Business Registry
Gresham Brewery #32,Gresham,OR,catering,503-842-6103,2026-03-29T01:08:09.170950,OR Business Registry
Gresham Cafe #33,Gresham,OR,winery,503-789-1535,2026-03-29T01:08:09.271226,OR Business Registry
Gresham Winery #34,Gresham,OR,distillery,503-681-6556,2026-03-29T01:08:09.371442,OR Business Registry
Gresham Distillery #35,Gresham,OR,winery,503-200-5714,2026-03-29T01:08:09.471645,OR Business Registry
Gresham Winery #36,Gresham,OR,winery,503-405-3890,2026-03-29T01:08:09.571814,OR Business Registry
Gresham Catering #37,Gresham,OR,food truck,503-948-3663,2026-03-29T01:08:09.671991,OR Business Registry
Gresham Restaurant #38,Gresham,OR,distillery,503-346-1278,2026-03-29T01:08:09.772199,OR Business Registry
Gresham Food Truck #39,Gresham,OR,catering,503-534-5442,2026-03-29T01:08:09.872380,OR Business Registry
Gresham Food Truck #40,Gresham,OR,catering,503-351-7363,2026-03-29T01:08:09.972597,OR Business Registry
Gresham Brewery #41,Gresham,OR,catering,503-386-9984,2026-03-29T01:08:10.072793,OR Business Registry
Gresham Winery #42,Gresham,OR,winery,503-532-9404,2026-03-29T01:08:10.172979,OR Business Registry
Gresham Bakery #43,Gresham,OR,brewery,503-478-4533,2026-03-29T01:08:10.273123,OR Business Registry
Gresham Distillery #44,Gresham,OR,catering,503-413-5501,2026-03-29T01:08:10.373318,OR Business Registry
Gresham Catering #45,Gresham,OR,food truck,503-657-1653,2026-03-29T01:08:10.473531,OR Business Registry
Gresham Restaurant #46,Gresham,OR,food truck,503-885-2771,2026-03-29T01:08:10.573729,OR Business Registry
Gresham Cafe #47,Gresham,OR,catering,503-261-2040,2026-03-29T01:08:10.673934,OR Business Registry
Gresham Bakery #48,Gresham,OR,brewery,503-931-7318,2026-03-29T01:08:10.774144,OR Business Registry
Gresham Restaurant #49,Gresham,OR,restaurant,503-593-9793,2026-03-29T01:08:10.874340,OR Business Registry
Gresham Food Truck #50,Gresham,OR,brewery,503-749-6125,2026-03-29T01:08:10.974546,OR Business Registry
Bend Food Truck #1,Bend,OR,cafe,503-163-2280,2026-03-29T01:08:11.074791,OR Business Registry
Bend Brewery #2,Bend,OR,winery,503-515-2450,2026-03-29T01:08:11.174985,OR Business Registry
Bend Distillery #3,Bend,OR,cafe,503-136-9023,2026-03-29T01:08:11.275188,OR Business Registry
Bend Catering #4,Bend,OR,brewery,503-483-9869,2026-03-29T01:08:11.375395,OR Business Registry
Bend Restaurant #5,Bend,OR,cafe,503-203-2482,2026-03-29T01:08:11.475620,OR Business Registry
Bend Cafe #6,Bend,OR,bakery,503-468-4254,2026-03-29T01:08:11.575810,OR Business Registry
Bend Restaurant #7,Bend,OR,winery,503-981-7558,2026-03-29T01:08:11.676021,OR Business Registry
Bend Cafe #8,Bend,OR,restaurant,503-271-8707,2026-03-29T01:08:11.776229,OR Business Registry
Bend Food Truck #9,Bend,OR,bakery,503-578-3422,2026-03-29T01:08:11.876400,OR Business Registry
Bend Food Truck #10,Bend,OR,catering,503-903-8715,2026-03-29T01:08:11.976619,OR Business Registry
Bend Restaurant #11,Bend,OR,food truck,503-473-5551,2026-03-29T01:08:12.076832,OR Business Registry
Bend Distillery #12,Bend,OR,cafe,503-292-1644,2026-03-29T01:08:12.177041,OR Business Registry
Bend Distillery #13,Bend,OR,bakery,503-293-9653,2026-03-29T01:08:12.277301,OR Business Registry
Bend Distillery #14,Bend,OR,restaurant,503-848-3682,2026-03-29T01:08:12.377515,OR Business Registry
Bend Cafe #15,Bend,OR,brewery,503-724-7456,2026-03-29T01:08:12.477686,OR Business Registry
Bend Distillery #16,Bend,OR,bakery,503-213-5668,2026-03-29T01:08:12.577871,OR Business Registry
Bend Catering #17,Bend,OR,brewery,503-242-4210,2026-03-29T01:08:12.678045,OR Business Registry
Bend Distillery #18,Bend,OR,catering,503-155-3271,2026-03-29T01:08:12.778254,OR Business Registry
Bend Restaurant #19,Bend,OR,winery,503-706-6716,2026-03-29T01:08:12.878483,OR Business Registry
Bend Bakery #20,Bend,OR,bakery,503-983-3295,2026-03-29T01:08:12.978696,OR Business Registry
Bend Food Truck #21,Bend,OR,restaurant,503-463-7645,2026-03-29T01:08:13.078864,OR Business Registry
Bend Winery #22,Bend,OR,brewery,503-210-9127,2026-03-29T01:08:13.179059,OR Business Registry
Bend Cafe #23,Bend,OR,cafe,503-923-6610,2026-03-29T01:08:13.279288,OR Business Registry
Bend Brewery #24,Bend,OR,food truck,503-929-4503,2026-03-29T01:08:13.379483,OR Business Registry
Bend Brewery #25,Bend,OR,bakery,503-571-7030,2026-03-29T01:08:13.479699,OR Business Registry
Bend Food Truck #26,Bend,OR,food truck,503-323-4393,2026-03-29T01:08:13.579866,OR Business Registry
Bend Bakery #27,Bend,OR,brewery,503-544-1899,2026-03-29T01:08:13.680097,OR Business Registry
Bend Restaurant #28,Bend,OR,restaurant,503-615-7370,2026-03-29T01:08:13.780297,OR Business Registry
Bend Restaurant #29,Bend,OR,restaurant,503-478-4733,2026-03-29T01:08:13.880528,OR Business Registry
Bend Restaurant #30,Bend,OR,restaurant,503-117-3716,2026-03-29T01:08:13.980696,OR Business Registry
Bend Distillery #31,Bend,OR,winery,503-463-6856,2026-03-29T01:08:14.080931,OR Business Registry
Bend Food Truck #32,Bend,OR,distillery,503-329-4958,2026-03-29T01:08:14.181145,OR Business Registry
Bend Cafe #33,Bend,OR,distillery,503-361-8624,2026-03-29T01:08:14.281298,OR Business Registry
Bend Restaurant #34,Bend,OR,winery,503-385-1494,2026-03-29T01:08:14.381471,OR Business Registry
Bend Catering #35,Bend,OR,bakery,503-355-6022,2026-03-29T01:08:14.481706,OR Business Registry
Bend Food Truck #36,Bend,OR,brewery,503-547-6545,2026-03-29T01:08:14.582182,OR Business Registry
Bend Food Truck #37,Bend,OR,bakery,503-686-6304,2026-03-29T01:08:14.682431,OR Business Registry
Bend Brewery #38,Bend,OR,cafe,503-581-3109,2026-03-29T01:08:14.782621,OR Business Registry
Bend Cafe #39,Bend,OR,bakery,503-554-7633,2026-03-29T01:08:14.882781,OR Business Registry
Bend Winery #40,Bend,OR,brewery,503-626-9281,2026-03-29T01:08:14.982993,OR Business Registry
Bend Restaurant #41,Bend,OR,cafe,503-902-3269,2026-03-29T01:08:15.083178,OR Business Registry
Bend Winery #42,Bend,OR,bakery,503-337-4078,2026-03-29T01:08:15.183337,OR Business Registry
Bend Brewery #43,Bend,OR,distillery,503-307-9223,2026-03-29T01:08:15.283496,OR Business Registry
Bend Bakery #44,Bend,OR,winery,503-426-3570,2026-03-29T01:08:15.383711,OR Business Registry
Bend Bakery #45,Bend,OR,restaurant,503-285-2447,2026-03-29T01:08:15.483951,OR Business Registry
Bend Catering #46,Bend,OR,winery,503-131-9233,2026-03-29T01:08:15.584152,OR Business Registry
Bend Cafe #47,Bend,OR,winery,503-956-2153,2026-03-29T01:08:15.684333,OR Business Registry
Bend Catering #48,Bend,OR,restaurant,503-944-2343,2026-03-29T01:08:15.784505,OR Business Registry
Bend Food Truck #49,Bend,OR,bakery,503-951-7335,2026-03-29T01:08:15.884709,OR Business Registry
Bend Food Truck #50,Bend,OR,distillery,503-478-4027,2026-03-29T01:08:15.984888,OR Business Registry
